"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZR_MOD_RADIO","Radio board","Radio board","Radio board","Radio board","Radio board","Radio board","Radio board","Radio board","Radio board","Radio board","Radio board","Radio board","Radio board","Radio board",
"STR_OZR_MOD_RADIO_DESC","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.","A transceiver board for a PDA bay. Deaf and mute without an antenna, like everything else on the air.",
"STR_OZR_PAGE_RADIO","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio","Radio",
"STR_OZR_TUNE","TUNE","TUNE","TUNE","TUNE","TUNE","TUNE","TUNE","TUNE","TUNE","TUNE","TUNE","TUNE","TUNE","TUNE",
"STR_OZR_READY","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready",
"STR_OZR_ON_AIR","ON AIR","ON AIR","ON AIR","ON AIR","ON AIR","ON AIR","ON AIR","ON AIR","ON AIR","ON AIR","ON AIR","ON AIR","ON AIR","ON AIR",
"STR_OZR_ERR_NO_BOARD","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA","No radio board in this PDA",
"STR_OZR_ERR_NO_PROFILE","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile","This board has no band profile",
"STR_OZR_ERR_OUT_OF_BAND","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band","Outside this board's band",
"STR_OZR_ERR_OFF_STEP","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels","Between this board's channels",
"STR_OZR_SAVE","SAVE","SAVE","SAVE","SAVE","SAVE","SAVE","SAVE","SAVE","SAVE","SAVE","SAVE","SAVE","SAVE","SAVE",
"STR_OZR_FORGET","FORGET","FORGET","FORGET","FORGET","FORGET","FORGET","FORGET","FORGET","FORGET","FORGET","FORGET","FORGET","FORGET","FORGET",
"STR_OZR_NO_CARRIER","no carrier","no carrier","no carrier","no carrier","no carrier","no carrier","no carrier","no carrier","no carrier","no carrier","no carrier","no carrier","no carrier","no carrier",
"STR_OZR_ERR_NO_NAME","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first","Give the frequency a name first",
"STR_OZR_ERR_PICK_ONE","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first","Pick a saved frequency first",
"STR_OZR_OUT_OF_REACH","out of band","out of band","out of band","out of band","out of band","out of band","out of band","out of band","out of band","out of band","out of band","out of band","out of band","out of band",
"STR_OZR_ERR_OUT_OF_REACH","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency","This set cannot reach that frequency",
